Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

+3.768366e-03 +1.080036e+00 +6.213190e+02 +7.298282e+01     Pix  0  0
+4.209453e-03 +1.182871e+00 +5.885458e+02 +8.051512e+01     Pix  0  1
+4.286062e-03 +1.251984e+00 +5.893462e+02 +6.911051e+01     Pix  0  2
+4.254559e-03 +1.196710e+00 +5.822548e+02 +8.985640e+01     Pix  0  3
+4.052143e-03 +1.145368e+00 +6.019232e+02 +6.821467e+01     Pix  0  4
+4.184610e-03 +1.148314e+00 +5.973306e+02 +7.086308e+01     Pix  0  5
+4.120168e-03 +1.205636e+00 +5.998254e+02 +7.377872e+01     Pix  0  6
+4.314341e-03 +1.181677e+00 +5.920294e+02 +8.055935e+01     Pix  0  7
+4.124869e-03 +1.189632e+00 +5.896404e+02 +7.969748e+01     Pix  0  8
+4.056121e-03 +1.132532e+00 +5.948500e+02 +6.864137e+01     Pix  0  9
+4.058050e-03 +1.163359e+00 +5.967129e+02 +6.556156e+01     Pix  0 10
+4.000359e-03 +1.152965e+00 +5.975019e+02 +5.934511e+01     Pix  0 11
+4.096976e-03 +1.149206e+00 +6.002042e+02 +6.598117e+01     Pix  0 12
+4.099507e-03 +1.122724e+00 +5.968772e+02 +6.693810e+01     Pix  0 13
+4.051714e-03 +1.179037e+00 +5.885315e+02 +7.420195e+01     Pix  0 14
+4.087764e-03 +1.157924e+00 +5.910526e+02 +7.307559e+01     Pix  0 15
+4.039140e-03 +1.127687e+00 +5.953079e+02 +6.617708e+01     Pix  0 16
+3.998481e-03 +1.112438e+00 +5.950590e+02 +6.345192e+01     Pix  0 17
+4.055478e-03 +1.152516e+00 +6.087825e+02 +5.572937e+01     Pix  0 18
+4.066263e-03 +1.135821e+00 +6.019308e+02 +6.200959e+01     Pix  0 19
+4.115122e-03 +1.156936e+00 +5.924570e+02 +6.843997e+01     Pix  0 20
+3.943645e-03 +1.154453e+00 +6.049014e+02 +5.949793e+01     Pix  0 21
+3.914923e-03 +1.176989e+00 +6.005242e+02 +6.120943e+01     Pix  0 22
+4.018660e-03 +1.131184e+00 +6.005017e+02 +5.956438e+01     Pix  0 23
+3.965411e-03 +1.199340e+00 +6.042163e+02 +6.044952e+01     Pix  0 24
+4.012857e-03 +1.169137e+00 +6.026317e+02 +5.795424e+01     Pix  0 25
+3.958458e-03 +1.127635e+00 +6.103431e+02 +5.108554e+01     Pix  0 26
+3.955043e-03 +1.135574e+00 +6.028209e+02 +6.059703e+01     Pix  0 27
+3.878877e-03 +1.152431e+00 +6.066722e+02 +5.255307e+01     Pix  0 28
+3.943867e-03 +1.092617e+00 +5.950671e+02 +6.440158e+01     Pix  0 29
+3.912382e-03 +1.101070e+00 +6.077701e+02 +5.824900e+01     Pix  0 30
+3.886787e-03 +1.120290e+00 +6.015616e+02 +6.452953e+01     Pix  0 31
+3.910611e-03 +1.087118e+00 +6.073630e+02 +5.404466e+01     Pix  0 32
+3.977046e-03 +1.131570e+00 +6.009293e+02 +6.062033e+01     Pix  0 33
+3.816267e-03 +1.161600e+00 +6.068502e+02 +5.026498e+01     Pix  0 34
+3.948249e-03 +1.111615e+00 +5.975089e+02 +5.770817e+01     Pix  0 35
+3.686623e-03 +1.151742e+00 +6.184315e+02 +4.151416e+01     Pix  0 36
+3.867713e-03 +1.132076e+00 +6.049173e+02 +5.453802e+01     Pix  0 37
+3.826930e-03 +1.088473e+00 +6.123900e+02 +4.523572e+01     Pix  0 38
+3.836651e-03 +1.117269e+00 +6.084390e+02 +5.281280e+01     Pix  0 39
+3.760189e-03 +1.127403e+00 +6.148669e+02 +4.389049e+01     Pix  0 40
+3.900385e-03 +1.123439e+00 +6.118840e+02 +4.587628e+01     Pix  0 41
+3.980216e-03 +1.125795e+00 +6.013848e+02 +6.581673e+01     Pix  0 42
+3.842037e-03 +1.098152e+00 +6.136131e+02 +5.168559e+01     Pix  0 43
+3.935699e-03 +1.125441e+00 +6.025634e+02 +5.868001e+01     Pix  0 44
+3.768370e-03 +1.117241e+00 +6.151679e+02 +4.348916e+01     Pix  0 45
+3.782402e-03 +1.112117e+00 +6.105629e+02 +4.704047e+01     Pix  0 46
+3.954285e-03 +1.120229e+00 +5.998577e+02 +5.425130e+01     Pix  0 47
+3.782919e-03 +1.107191e+00 +6.138406e+02 +5.091824e+01     Pix  0 48
+3.880440e-03 +1.108233e+00 +6.120173e+02 +4.771836e+01     Pix  0 49
+3.804040e-03 +1.109147e+00 +6.135215e+02 +4.385303e+01     Pix  0 50
+3.832796e-03 +1.152579e+00 +6.078023e+02 +4.967097e+01     Pix  0 51
+3.654057e-03 +1.130879e+00 +6.133664e+02 +4.147472e+01     Pix  0 52
+3.826825e-03 +1.145482e+00 +6.090549e+02 +4.608162e+01     Pix  0 53
+3.863237e-03 +1.129671e+00 +6.059219e+02 +5.625364e+01     Pix  0 54
+3.867728e-03 +1.119575e+00 +6.131046e+02 +4.428774e+01     Pix  0 55
+3.729120e-03 +1.119722e+00 +6.030254e+02 +5.047558e+01     Pix  0 56
+3.741660e-03 +1.124650e+00 +6.123397e+02 +5.127188e+01     Pix  0 57
+3.864452e-03 +1.127111e+00 +6.074268e+02 +4.810657e+01     Pix  0 58
+3.892981e-03 +1.101059e+00 +6.054368e+02 +5.083246e+01     Pix  0 59
+3.741993e-03 +1.144086e+00 +6.128973e+02 +4.974248e+01     Pix  0 60
+3.798808e-03 +1.145331e+00 +6.236896e+02 +3.373614e+01     Pix  0 61
+3.854686e-03 +1.112796e+00 +6.067478e+02 +5.064643e+01     Pix  0 62
+3.819379e-03 +1.132156e+00 +6.190824e+02 +3.918077e+01     Pix  0 63
+3.760754e-03 +1.144170e+00 +6.186411e+02 +3.543110e+01     Pix  0 64
+3.874544e-03 +1.118451e+00 +6.019129e+02 +5.134568e+01     Pix  0 65
+3.749524e-03 +1.104815e+00 +6.184064e+02 +4.573487e+01     Pix  0 66
+3.887671e-03 +1.089694e+00 +6.097776e+02 +5.335841e+01     Pix  0 67
+3.853484e-03 +1.097227e+00 +6.118681e+02 +4.167605e+01     Pix  0 68
+3.761640e-03 +1.105517e+00 +6.140235e+02 +4.638767e+01     Pix  0 69
+3.768915e-03 +1.110659e+00 +6.165299e+02 +4.220168e+01     Pix  0 70
+3.686292e-03 +1.138563e+00 +6.202248e+02 +2.964493e+01     Pix  0 71
