Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

+1.581221e-03 +5.896308e-01 +1.232726e+03 +3.716030e+02     Pix  0  0
+1.725115e-03 +7.403337e-01 +1.125040e+03 +4.452355e+02     Pix  0  1
+1.891401e-03 +7.891318e-01 +1.077740e+03 +4.664002e+02     Pix  0  2
+1.512497e-03 +5.648907e-01 +1.253417e+03 +3.592132e+02     Pix  0  3
+1.677766e-03 +7.086892e-01 +1.143176e+03 +4.318170e+02     Pix  0  4
+1.855391e-03 +7.414254e-01 +1.117618e+03 +4.276092e+02     Pix  0  5
+1.851513e-03 +8.073652e-01 +1.074635e+03 +5.033230e+02     Pix  0  6
+1.566145e-03 +5.507174e-01 +1.254533e+03 +3.383464e+02     Pix  0  7
+1.633496e-03 +6.781711e-01 +1.155327e+03 +4.176418e+02     Pix  0  8
+1.691693e-03 +7.391337e-01 +1.121690e+03 +4.553333e+02     Pix  0  9
+1.702129e-03 +7.368734e-01 +1.124009e+03 +4.395738e+02     Pix  0 10
+1.665667e-03 +7.386789e-01 +1.121875e+03 +4.250982e+02     Pix  0 11
+1.781605e-03 +8.251872e-01 +1.086004e+03 +4.784346e+02     Pix  0 12
+1.638581e-03 +6.850743e-01 +1.164194e+03 +4.054241e+02     Pix  0 13
+1.857720e-03 +7.535786e-01 +1.095506e+03 +4.388309e+02     Pix  0 14
+1.696616e-03 +6.852554e-01 +1.150783e+03 +4.199330e+02     Pix  0 15
+1.736262e-03 +7.696243e-01 +1.104094e+03 +4.469506e+02     Pix  0 16
+1.774127e-03 +7.540380e-01 +1.098627e+03 +4.385479e+02     Pix  0 17
+1.689253e-03 +7.578344e-01 +1.116919e+03 +4.532627e+02     Pix  0 18
+1.908262e-03 +8.099245e-01 +1.076990e+03 +4.576538e+02     Pix  0 19
+1.628954e-03 +7.133997e-01 +1.140034e+03 +4.059725e+02     Pix  0 20
+1.569322e-03 +5.614972e-01 +1.262871e+03 +3.196806e+02     Pix  0 21
+1.709314e-03 +6.802209e-01 +1.160698e+03 +3.914867e+02     Pix  0 22
+1.654036e-03 +7.078372e-01 +1.139167e+03 +4.055242e+02     Pix  0 23
+1.675116e-03 +7.527490e-01 +1.123996e+03 +4.570803e+02     Pix  0 24
+1.712030e-03 +7.294286e-01 +1.131286e+03 +4.197206e+02     Pix  0 25
+1.600246e-03 +6.992799e-01 +1.152259e+03 +3.988830e+02     Pix  0 26
+1.723773e-03 +6.676659e-01 +1.155408e+03 +4.141449e+02     Pix  0 27
+1.405541e-03 +4.863495e-01 +1.331175e+03 +2.707784e+02     Pix  0 28
+1.682483e-03 +7.121243e-01 +1.134701e+03 +3.972944e+02     Pix  0 29
+1.533695e-03 +6.653442e-01 +1.188223e+03 +4.063344e+02     Pix  0 30
+1.499076e-03 +5.977117e-01 +1.218178e+03 +3.630801e+02     Pix  0 31
+1.864125e-03 +7.886566e-01 +1.075562e+03 +4.550135e+02     Pix  0 32
+1.773807e-03 +7.315725e-01 +1.120889e+03 +4.322700e+02     Pix  0 33
+1.579646e-03 +6.542056e-01 +1.191160e+03 +3.689791e+02     Pix  0 34
+1.504700e-03 +6.467204e-01 +1.189725e+03 +3.679535e+02     Pix  0 35
+1.685488e-03 +6.939373e-01 +1.160282e+03 +4.035234e+02     Pix  0 36
+1.564776e-03 +6.467050e-01 +1.193571e+03 +3.643251e+02     Pix  0 37
+1.671749e-03 +7.006063e-01 +1.131871e+03 +4.051814e+02     Pix  0 38
+1.530039e-03 +6.174188e-01 +1.225358e+03 +3.473508e+02     Pix  0 39
+1.768632e-03 +7.124480e-01 +1.123394e+03 +4.117395e+02     Pix  0 40
+1.612089e-03 +6.706589e-01 +1.174022e+03 +3.583943e+02     Pix  0 41
+1.529746e-03 +6.530168e-01 +1.200433e+03 +3.828041e+02     Pix  0 42
+1.673384e-03 +6.826104e-01 +1.150822e+03 +3.995350e+02     Pix  0 43
+1.663504e-03 +7.080540e-01 +1.135736e+03 +3.998952e+02     Pix  0 44
+1.600732e-03 +6.478934e-01 +1.181155e+03 +3.835260e+02     Pix  0 45
+1.819754e-03 +6.835872e-01 +1.141958e+03 +3.876295e+02     Pix  0 46
+1.561112e-03 +6.724274e-01 +1.181874e+03 +3.602387e+02     Pix  0 47
+1.571650e-03 +6.379488e-01 +1.189557e+03 +3.825952e+02     Pix  0 48
+1.856534e-03 +7.498862e-01 +1.092862e+03 +4.403693e+02     Pix  0 49
+1.944345e-03 +7.813518e-01 +1.079147e+03 +4.333409e+02     Pix  0 50
+1.491748e-03 +5.850447e-01 +1.230531e+03 +3.585299e+02     Pix  0 51
+1.657290e-03 +7.274736e-01 +1.131589e+03 +4.062422e+02     Pix  0 52
+1.684477e-03 +6.746344e-01 +1.157810e+03 +3.675313e+02     Pix  0 53
+1.643208e-03 +6.574382e-01 +1.182157e+03 +3.740525e+02     Pix  0 54
+1.564277e-03 +6.659146e-01 +1.181791e+03 +3.642043e+02     Pix  0 55
+1.892513e-03 +7.326222e-01 +1.107118e+03 +4.038323e+02     Pix  0 56
+1.560717e-03 +6.508099e-01 +1.189574e+03 +3.818814e+02     Pix  0 57
+1.709247e-03 +7.114620e-01 +1.134165e+03 +3.989545e+02     Pix  0 58
+1.695812e-03 +6.892715e-01 +1.162259e+03 +3.590691e+02     Pix  0 59
+1.716457e-03 +7.059562e-01 +1.144116e+03 +4.130183e+02     Pix  0 60
+1.623693e-03 +6.957603e-01 +1.151654e+03 +3.986136e+02     Pix  0 61
+1.565494e-03 +7.139669e-01 +1.145196e+03 +4.000608e+02     Pix  0 62
+1.444363e-03 +5.656158e-01 +1.257582e+03 +3.267020e+02     Pix  0 63
+1.583565e-03 +6.714187e-01 +1.167594e+03 +3.856333e+02     Pix  0 64
+1.634571e-03 +6.941567e-01 +1.145531e+03 +3.832872e+02     Pix  0 65
+1.590433e-03 +7.328452e-01 +1.142046e+03 +4.265567e+02     Pix  0 66
+1.611901e-03 +7.094152e-01 +1.153844e+03 +3.969231e+02     Pix  0 67
+1.620092e-03 +7.401165e-01 +1.133640e+03 +3.971995e+02     Pix  0 68
+1.405085e-03 +5.579907e-01 +1.269461e+03 +3.294068e+02     Pix  0 69
+1.514697e-03 +6.052169e-01 +1.224742e+03 +3.429876e+02     Pix  0 70
+1.602861e-03 +6.711149e-01 +1.158400e+03 +3.721119e+02     Pix  0 71
+1.550680e-03 +7.243372e-01 +1.141028e+03 +4.268099e+02     Pix  0 72
+1.744187e-03 +7.374032e-01 +1.118767e+03 +4.157911e+02     Pix  0 73
+1.613339e-03 +6.282909e-01 +1.187250e+03 +3.504475e+02     Pix  0 74
+1.592915e-03 +6.850963e-01 +1.160264e+03 +4.035241e+02     Pix  0 75
+1.582206e-03 +7.312893e-01 +1.134660e+03 +4.162557e+02     Pix  0 76
+1.394484e-03 +5.336449e-01 +1.292375e+03 +2.817353e+02     Pix  0 77
+1.601067e-03 +6.711374e-01 +1.167102e+03 +4.056704e+02     Pix  0 78
+1.438944e-03 +7.090757e-01 +1.160549e+03 +4.351957e+02     Pix  0 79
+1.875526e-03 +7.524546e-01 +1.121952e+03 +4.437125e+02     Pix  1  0
+1.993292e-03 +8.074309e-01 +1.074871e+03 +4.787632e+02     Pix  1  1
+2.088492e-03 +8.144273e-01 +1.056924e+03 +4.830160e+02     Pix  1  2
